# medium|title|year
# ---- A. ANIME / ANIME FILM (seed + high-relevance) ----
anime|Made in Abyss|2017
anime|Neon Genesis Evangelion|1995
anime|Serial Experiments Lain|1998
anime|Steins;Gate|2011
anime|From the New World (Shinsekai Yori)|2012
anime|The Melancholy of Haruhi Suzumiya|2006
anime|Mawaru Penguindrum|2011
anime|Girls' Last Tour|2017
anime|Heavenly Delusion|2023
anime|Sonny Boy|2021
anime|Ghost in the Shell|1995
anime|Ghost in the Shell: Stand Alone Complex|2002
anime|PSYCHO-PASS|2012
anime|Cowboy Bebop|1998
anime|Planetes|2003
anime|Space Dandy|2014
anime|Vivy: Fluorite Eye's Song|2021
anime|Cyberpunk: Edgerunners|2022
anime|Puella Magi Madoka Magica|2011
anime|Land of the Lustrous|2017
anime|The Tatami Galaxy|2010
anime|Mononoke|2007
anime|Mushishi|2005
anime|Ergo Proxy|2006
anime|Texhnolyze|2003
anime|Kaiba|2008
anime|Akira|1988
anime_film|Perfect Blue|1997
anime_film|Paprika|2006
anime_film|Angel's Egg|1985
anime_film|Nausicaa of the Valley of the Wind|1984
anime_film|Princess Mononoke|1997
anime_film|Castle in the Sky|1986
anime_film|The Boy and the Heron|2023
anime_film|Ghost in the Shell 2: Innocence|2004
anime|Haibane Renmei|2002
anime|Wolf's Rain|2003
anime|Kino's Journey|2003
anime|Dennou Coil|2007
anime|Bokurano|2007
anime|Now and Then, Here and There|1999
anime|Kaiba|2008
anime|Kemonozume|2006
anime|Ping Pong the Animation|2014
anime|Welcome to the N.H.K.|2006
anime|Revolutionary Girl Utena|1997
anime|RahXephon|2002
anime|Wolf's Rain OVA|2004
anime|Darker than Black|2007
anime|Shiki|2010
anime|Another|2012
anime|Higurashi When They Cry|2006
anime|Umineko When They Cry|2009
anime|Baccano!|2007
anime|Durarara!!|2010
anime|Mushishi Zoku Shou|2014
anime|Kaiji|2007
anime|Legend of the Galactic Heroes|1988
anime|Crest of the Stars|1999
anime|Gunbuster|1988
anime|FLCL|2000
anime|Paranoia Agent|2004
anime|Millennium Actress|2001
anime_film|Tokyo Godfathers|2003
anime|NHK ni Youkoso|2006
anime|Zegapain|2006
anime|Noein|2005
anime|The Big O|1999
anime|Boogiepop Phantom|2000
anime|Kara no Kyoukai|2007
anime|Fate/Zero|2011
anime|Puella Magi Madoka Magica: Rebellion|2013
anime|Yuki Yuna is a Hero|2014
anime|Princess Tutu|2002
anime|Revue Starlight|2018
anime|Odd Taxi|2021
anime|Ranking of Kings|2021
anime|Frieren: Beyond Journey's End|2023
anime|Dungeon Meshi|2024
anime|Jujutsu Kaisen|2020
anime|Chainsaw Man|2022
anime|Attack on Titan|2013
anime|Fullmetal Alchemist: Brotherhood|2009
anime|One Piece|1999
anime|Death Note|2006
anime|Monster|2004
anime|Mushishi|2005
anime|Natsume's Book of Friends|2008
anime|Mushishi Special|2014
anime|Berserk|1997
anime|Claymore|2007
anime|Gantz|2004
anime|Elfen Lied|2004
anime|Deadman Wonderland|2011
anime|Tokyo Ghoul|2014
anime|Parasyte|2014
anime|Devilman Crybaby|2018
anime|Kaiju No. 8|2024
# ---- B. MANGA ----
manga|Made in Abyss|2012
manga|Land of the Lustrous|2012
manga|20th Century Boys|1999
manga|Monster|1994
manga|Pluto|2003
manga|Billy Bat|2008
manga|Blame!|1997
manga|Nausicaa of the Valley of the Wind|1982
manga|Akira|1982
manga|Uzumaki|1998
manga|Dorohedoro|2000
manga|The Climber|2007
manga|Girls' Last Tour|2014
manga|Chainsaw Man|2018
manga|Attack on Titan|2009
manga|One Piece|1997
manga|Fullmetal Alchemist|2001
manga|Fire Punch|2016
manga|Goodnight Punpun|2007
manga|Berserk|1989
manga|Vagabond|1998
manga|Vinland Saga|2005
manga|Hellsing|1997
manga|Gantz|2000
manga|Biomega|2004
manga|Knights of Sidonia|2009
manga|Aposimz|2017
manga|Sun-Ken Rock|2006
manga|Homunculus|2003
manga|Ichi the Killer|1998
manga|Abara|2005
manga|Kokou no Hito|2007
manga|Real|1999
manga|Slam Dunk|1990
manga|Oyasumi Punpun|2007
manga|Nijigahara Holograph|2003
manga|Solanin|2005
manga|Dead Dead Demon's Dededede Destruction|2014
manga|Asano Inio: Downfall|2015
manga|Urasawa: Asadora!|2018
manga|Tezuka: Phoenix|1967
manga|Tezuka: Buddha|1972
manga|Mushishi|1999
manga|Yokohama Kaidashi Kikou|1994
manga|Blame! Master's Edition|1997
manga|Biomega|2004
manga|Gunnm (Battle Angel Alita)|1990
manga|Ghost in the Shell (manga)|1989
manga|Domu|1980
manga|Nausicaa (manga)|1982
manga|Uzumaki|1998
manga|Tomie|1987
manga|Gyo|2001
manga|Remina|2004
manga|Sensor|2018
manga|Black Paradox|2009
manga|Goodnight Punpun|2007
# ---- C. FILM ----
film|2001: A Space Odyssey|1968
film|Solaris|1972
film|Stalker|1979
film|Arrival|2016
film|Annihilation|2018
film|Interstellar|2014
film|The Matrix|1999
film|Blade Runner|1982
film|Blade Runner 2049|2017
film|Children of Men|2006
film|The Fountain|2006
film|The Tree of Life|2011
film|Under the Skin|2013
film|The Lighthouse|2019
film|The Northman|2022
film|Nope|2022
film|Get Out|2017
film|Us|2019
film|Everything Everywhere All at Once|2022
film|The Truman Show|1998
film|The Prestige|2006
film|Memento|2000
film|Primer|2004
film|Coherence|2013
film|Ex Machina|2014
film|Her|2013
film|The Thing|1982
film|Alien|1979
film|The Fly|1986
film|Pan's Labyrinth|2006
film|The Green Knight|2021
film|Mad Max: Fury Road|2015
film|WALL-E|2008
film|Spirited Away|2001
film|Fantastic Planet|1973
film|Metropolis|1927
film|Solaris (2002)|2002
film|2001 (sequel) 2010: The Year We Make Contact|1984
film|Silent Running|1972
film|Soylent Green|1973
film|Logan's Run|1976
film|THX 1138|1971
film|Brazil|1985
film|12 Monkeys|1995
film|Dark City|1998
film|eXistenZ|1999
film|Videodrome|1983
film|The Brood|1979
film|Possession|1981
film|Holy Mountain|1973
film|Santa Sangre|1989
film|Eraserhead|1977
film|Inland Empire|2006
film|Mulholland Drive|2001
film|Lost Highway|1997
film|Pi|1998
film|Requiem for a Dream|2000
film|mother!|2017
film|Black Swan|2010
film|The Lobster|2015
film|Dogtooth|2009
film|The Killing of a Sacred Deer|2017
film|Poor Things|2023
film|Melancholia|2011
film|Another Earth|2011
film|Sunshine|2007
film|Moon|2009
film|Gattaca|1997
film|Contact|1997
film|Close Encounters of the Third Kind|1977
film|Stalker (1979)|1979
film|Hard to Be a God|2013
film|The Sacrifice|1986
film|Nostalghia|1983
film|The Mirror|1975
film|On the Silver Globe|1988
film|The Cremator|1969
film|Daisies|1966
film|Marketa Lazarova|1967
film|Valerie and Her Week of Wonders|1970
film|The Hourglass Sanatorium|1973
film|Tetsuo: The Iron Man|1989
film|Rubber's Lover|1996
film|964 Pinocchio|1991
film|Meatball Machine|2005
film|Tokyo Gore Police|2008
film|Hausu|1977
film|Kwaidan|1964
film|Onibaba|1964
film|Woman in the Dunes|1964
film|Pitfall|1962
film|The Face of Another|1966
film|Intervista|1987
# ---- D. NOVEL / LITERATURE ----
novel|Solaris|1961
novel|Roadside Picnic|1972
novel|The Left Hand of Darkness|1969
novel|The Dispossessed|1974
novel|Dune|1965
novel|Hyperion|1989
novel|Blindsight|2006
novel|House of Suns|2008
novel|Children of Time|2015
novel|The Three-Body Problem|2008
novel|Diaspora|1997
novel|Permutation City|1994
novel|The Book of the New Sun|1980
novel|The Road|2006
novel|The Drowned World|1962
novel|A Canticle for Leibowitz|1959
novel|Oryx and Crake|2003
novel|Station Eleven|2014
novel|The Trial|1925
novel|The Castle|1926
novel|One Hundred Years of Solitude|1967
novel|The Master and Margarita|1967
novel|The Brothers Karamazov|1880
novel|The Stranger|1942
novel|The Plague|1947
novel|Thus Spoke Zarathustra|1883
novel|The Divine Comedy|1320
novel|Paradise Lost|1667
novel|At the Mountains of Madness|1936
novel|The Colour Out of Space|1927
novel|The Shadow over Innsmouth|1936
novel|The Call of Cthulhu|1928
novel|The Whisperer in Darkness|1931
novel|The Case of Charles Dexter Ward|1941
novel|Songs of a Dead Dreamer (Ligotti)|1986
novel|The Conspiracy Against the Human Race|2010
novel|Teatro Grottesco|1996
novel|Ficciones (Borges)|1944
novel|The Aleph (Borges)|1949
novel|Labyrinths (Borges)|1962
novel|The Metamorphosis|1915
novel|In the Penal Colony|1919
novel|The Wendigo (Blackwood)|1910
novel|The Willows (Blackwood)|1907
novel|A Voyage to Arcturus|1920
novel|Star Maker|1937
novel|Last and First Men|1930
novel|The Time Machine|1895
novel|The Island of Doctor Moreau|1896
novel|Brave New World|1932
novel|Nineteen Eighty-Four|1949
novel|We (Zamyatin)|1924
novel|Fahrenheit 451|1953
novel|A Scanner Darkly|1977
novel|The Man in the High Castle|1962
novel|Ubik|1969
novel|Do Androids Dream of Electric Sheep?|1968
novel|VALIS|1981
novel|Neuromancer|1984
novel|Snow Crash|1992
novel|The Diamond Age|1995
novel|Anathem|2008
novel|Cryptonomicon|1999
novel|A Fire Upon the Deep|1992
novel|A Deepness in the Sky|1999
novel|The Culture: Consider Phlebas|1987
novel|The Culture: Excession|1996
novel|The Culture: Look to Windward|2000
novel|Revelation Space|2000
novel|The Prefect|2007
novel|Dragon's Egg|1980
novel|The Mote in God's Eye|1974
novel|Ringworld|1970
novel|Rendezvous with Rama|1973
novel|Childhood's End|1953
novel|The City and the Stars|1956
novel|The Fountains of Paradise|1979
novel|The Songs of Distant Earth|1986
novel|Blood Meridian|1985
novel|The Road (2006)|2006
novel|Riddley Walker|1980
novel|The Book of the New Sun: Urth|1980
novel|Piranesi|2020
novel|The Buried Giant|2015
novel|Never Let Me Go|2005
novel|Klara and the Sun|2021
novel|The Dispossessed (1974)|1974
novel|Woman in the Dunes (novel)|1962
novel|The Sea and Poison|1957
novel|Silence (Endo)|1966
novel|Deep River (Endo)|1993
novel|The Temple of the Golden Pavilion|1956
novel|Kokoro|1914
novel|Snow Country|1937
novel|Hard-Boiled Wonderland and the End of the World|1985
novel|The Wind-Up Bird Chronicle|1994
novel|1Q84|2009
novel|Kafka on the Shore|2002
# ---- E. GAMES / VN ----
game|SOMA|2015
game|Outer Wilds|2019
game|Disco Elysium|2019
game|NieR:Automata|2017
game|NieR Replicant|2010
game|Bloodborne|2015
game|Dark Souls|2011
game|Dark Souls III|2016
game|Elden Ring|2022
game|SIGNALIS|2022
game|Rain World|2017
game|The Talos Principle|2014
game|INSIDE|2016
game|Control|2019
game|Return of the Obra Dinn|2018
game|13 Sentinels: Aegis Rim|2019
game|Umineko When They Cry|2007
game|Higurashi When They Cry|2002
game|Steins;Gate (VN)|2009
game|Hyper Light Drifter|2016
game|Hollow Knight|2017
game|Pathologic|2005
game|Pathologic 2|2019
game|Kentucky Route Zero|2013
game|The Beginner's Guide|2015
game|What Remains of Edith Finch|2017
game|Death Stranding|2019
game|Metal Gear Solid 2|2001
game|Silent Hill 2|2001
game|Silent Hill 3|2003
game|Fatal Frame II|2003
game|Rule of Rose|2006
game|Planescape: Torment|1999
game|Torment: Tides of Numenera|2017
game|Sunless Sea|2015
game|Cultist Simulator|2018
game|Fallen London|2009
game|Hypnospace Outlaw|2019
game|The Outer Worlds|2019
game|Prey|2017
game|System Shock 2|1999
game|Deus Ex|2000
game|Bioshock|2007
game|Bioshock Infinite|2013
game|Spec Ops: The Line|2012
game|Undertale|2015
game|Deltarune|2018
game|OneShot|2016
game|The Hex|2018
game|Inscryption|2021
game|Pony Island|2016
